TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
a_a011587,3,여,20,1,2,1,1,7,3,4,6,7,1.0,1,0,['경기도+수원시']
a_a015319,4,여,40,5,1,2,1,6,6,1,7,4,9.0,2,1,['인천광역시+중구']
a_a003291,2,여,20,5,4,3,1,2,4,3,5,4,1.0,5,3,['경기도+포천시']
a_a007026,1,여,30,4,2,6,4,4,5,5,3,2,1.0,1,0,['경기도+의왕시']
a_a017858,3,여,30,1,1,4,4,5,3,4,7,1,8.0,1,1,['경기도+수원시']
a_a004308,3,남,20,2,3,1,1,4,3,2,7,5,1.0,2,1,['경기도+수원시']
a_a010287,4,여,30,3,4,1,3,3,5,5,5,6,2.0,1,1,"['서울특별시+종로구', '서울특별시+영등포구']"
a_a007205,6,여,20,1,4,1,1,2,2,6,7,7,2.0,8,0,['서울특별시+강남구']
a_a017538,24,여,20,3,3,2,3,3,2,4,5,3,1.0,3,1,['경기도+시흥시']
a_a002425,23,여,30,3,4,1,2,4,6,2,3,7,1.0,3,2,['서울특별시+서대문구']
a_a004008,25,여,30,4,2,3,3,3,1,3,2,5,2.0,2,0,['경기도+안산시']
a_a002494,22,남,20,3,6,2,1,3,2,4,1,6,1.0,3,1,['서울특별시+광진구']
a_a006590,3,여,20,4,6,1,2,1,2,6,6,7,3.0,1,1,['서울특별시+강남구']
a_a009411,21,여,50,1,2,4,6,2,3,2,6,7,3.0,1,5,['경기도+양평군']
a_a006712,1,남,30,4,4,4,4,4,4,4,4,4,2.0,3,1,['경기도+수원시']
a_a004807,21,남,30,6,2,1,1,3,6,3,6,7,2.0,1,3,['경기도+광주시']
a_a001892,6,여,30,5,7,1,1,1,1,4,4,3,3.0,3,1,['서울특별시+중구']
a_a003320,2,여,30,6,4,4,6,1,1,3,5,2,3.0,8,4,['경기도+용인시']
a_a006803,3,여,20,4,3,2,2,6,6,3,6,5,7.0,14,0,['경기도+수원시']
a_a014461,6,여,20,3,6,2,4,6,3,2,7,5,7.0,2,0,['서울특별시+송파구']
a_a001199,9,여,30,2,2,1,2,3,6,7,7,7,9.0,4,3,['경기도+가평군']
a_a005158,3,여,30,4,4,4,3,1,2,4,2,1,2.0,1,1,['경기도+화성시']
a_a010127,8,여,40,1,3,2,1,5,6,7,6,2,1.0,4,5,['경기도+가평군']
a_a004696,1,여,30,5,3,1,6,2,4,3,6,6,3.0,2,1,['서울특별시+성동구']
a_a001130,22,남,20,3,1,6,1,5,5,1,1,6,9.0,1,5,"['경기도+가평군', '서울특별시+종로구']"
a_a005986,3,여,60,1,2,4,2,4,4,6,5,4,8.0,5,2,['경기도+수원시']
a_a001971,1,남,20,2,5,1,1,7,1,1,7,7,1.0,3,0,['서울특별시+광진구']
a_a005956,22,남,30,4,1,4,1,4,1,1,4,7,3.0,1,1,['경기도+광주시']
a_a005485,11,남,20,5,2,2,2,5,4,3,6,2,6.0,3,1,['경기도+수원시']
a_a000820,6,여,30,6,4,2,4,2,2,5,4,2,7.0,1,2,['경기도+가평군']
a_a004420,8,남,20,3,1,1,1,3,7,2,6,7,7.0,1,1,['강원도+춘천시']
a_a014301,3,남,30,4,5,6,7,3,3,6,2,7,2.0,6,1,['경기도+수원시']
a_a000978,2,여,20,2,3,2,4,2,1,4,7,4,3.0,3,1,['경기도+용인시']
a_a005643,21,여,30,5,4,4,5,6,7,5,2,7,3.0,1,3,['경기도+광주시']
a_a005992,9,여,30,5,3,3,4,3,3,5,5,3,3.0,4,1,['경기도+양주시']
a_a014856,1,남,30,5,5,3,3,4,3,6,5,5,1.0,1,0,['강원도+춘천시']
a_a004909,22,여,20,4,1,4,6,2,1,1,7,7,2.0,2,2,['경기도+광주시']
a_a015837,1,여,50,4,7,1,1,4,1,3,7,1,7.0,1,2,"['서울특별시+성동구', '서울특별시+종로구']"
a_a002679,2,여,30,6,5,6,6,5,5,4,4,5,2.0,1,1,['경기도+광주시']
d_d004639,6,남,30,5,1,1,1,2,2,1,5,7,8.0,4,1,"['서울특별시+송파구', '서울특별시+종로구']"
a_a000824,6,여,20,4,6,2,2,2,3,3,7,1,1.0,5,0,"['서울특별시+송파구', '서울특별시+강남구']"
a_a006232,2,남,20,3,2,2,1,6,3,2,6,2,7.0,1,1,['경기도+포천시']
a_a014835,2,여,30,4,4,1,4,4,1,4,7,4,7.0,1,1,"['서울특별시+송파구', '서울특별시+영등포구']"
a_a012155,21,여,20,4,2,2,2,2,6,3,2,4,3.0,5,1,['경기도+광주시']
a_a007408,6,여,20,2,6,2,2,2,2,5,3,6,7.0,6,0,"['서울특별시+강남구', '서울특별시+광진구']"
a_a000891,6,남,20,4,2,1,1,2,4,2,1,4,8.0,2,1,['서울특별시+강동구']
a_a007309,4,여,40,5,2,2,4,2,2,6,2,2,1.0,2,1,['경기도+수원시']
a_a007609,2,여,50,5,2,2,2,4,6,2,6,6,7.0,1,1,['경기도+용인시']
a_a014164,3,남,60,5,4,4,3,3,5,4,3,6,1.0,1,3,['경기도+수원시']
a_a002121,6,여,20,4,4,3,1,4,4,5,2,4,3.0,2,1,['서울특별시+종로구']
a_a002567,8,여,40,1,4,1,2,2,3,3,1,6,3.0,1,2,['경기도+연천군']
a_a010138,22,여,20,4,4,3,2,2,3,5,5,6,1.0,4,0,['서울특별시+마포구']
a_a003006,6,여,40,4,2,4,4,5,4,4,2,2,8.0,8,0,"['경기도+성남시', '서울특별시+종로구']"
a_a003778,3,남,20,5,3,2,2,5,2,5,5,3,7.0,2,0,['경기도+수원시']
a_a001957,25,남,30,4,3,5,5,5,2,3,5,4,2.0,3,2,['경기도+수원시']
a_a001753,2,남,40,5,1,4,1,3,2,6,3,2,7.0,1,1,['서울특별시+송파구']
a_a007102,1,여,40,4,1,1,1,2,1,1,1,7,7.0,1,0,['서울특별시+송파구']
a_a002760,21,여,20,4,1,4,2,6,6,3,6,6,3.0,5,1,['경기도+가평군']
a_a003073,9,여,30,6,3,3,6,4,6,6,6,2,1.0,1,2,['경기도+이천시']
a_a005424,2,여,60,3,2,6,3,4,2,5,6,5,2.0,8,1,['경기도+파주시']
a_a001895,21,여,30,5,3,2,5,5,2,4,6,7,5.0,10,1,['경기도+김포시']
a_a004982,1,남,30,4,4,4,1,4,4,4,3,4,1.0,3,0,['서울특별시+영등포구']
a_a018070,22,여,20,5,3,2,3,2,2,3,2,6,1.0,4,1,['경기도+파주시']
a_a008211,2,남,30,2,5,2,2,5,2,7,7,1,7.0,2,0,"['서울특별시+송파구', '서울특별시+중구', '서울특별시+종로구']"
a_a002493,6,남,20,5,2,5,1,4,4,3,2,6,8.0,1,0,"['서울특별시+송파구', '서울특별시+종로구']"
a_a004937,11,여,30,1,1,6,2,4,5,3,5,6,2.0,3,3,['경기도+광주시']
a_a001380,27,여,20,2,5,2,3,3,3,5,1,6,2.0,8,1,['경기도+수원시']
a_a000373,25,여,20,4,2,1,2,1,1,3,6,7,5.0,2,3,['경기도+양평군']
a_a007013,2,남,30,6,6,2,1,3,5,3,5,6,3.0,1,1,['경기도+광주시']
a_a000593,2,여,20,4,3,6,1,5,6,6,3,6,2.0,6,1,"['인천광역시+연수구', '인천광역시+중구']"
a_a007595,4,남,30,4,5,1,3,2,1,4,3,3,3.0,1,1,['서울특별시+용산구']
a_a006375,2,여,30,4,4,5,2,4,5,6,5,6,1.0,2,1,['경기도+광주시']
a_a000266,23,여,30,1,4,5,4,4,5,5,4,6,2.0,3,2,['경기도+안성시']
a_a007919,3,남,30,4,6,2,6,4,2,3,6,3,8.0,5,0,"['서울특별시+중구', '서울특별시+종로구']"
a_a017704,4,여,40,2,2,4,2,4,4,4,4,5,3.0,1,2,['인천광역시+중구']
a_a003626,21,여,40,5,4,2,2,2,2,6,5,3,1.0,5,3,['경기도+포천시']
a_a003077,3,여,40,5,2,2,2,3,5,3,3,3,7.0,6,2,['경기도+수원시']
a_a001881,10,여,30,1,7,4,1,1,2,7,2,7,1.0,2,0,['서울특별시+강남구']
a_a012183,3,여,30,4,1,4,1,4,4,3,3,6,3.0,2,1,['경기도+안성시']
a_a002491,2,여,40,3,5,3,2,6,6,5,2,6,3.0,5,3,['경기도+용인시']
a_a004603,2,여,30,4,4,4,4,5,5,5,5,6,3.0,2,1,['경기도+수원시']
a_a006028,9,여,20,4,1,1,1,4,3,7,2,7,2.0,3,1,['경기도+고양시']
a_a003093,6,여,20,4,5,2,2,2,3,4,3,4,1.0,1,4,['경기도+가평군']
a_a004106,2,남,40,8,4,4,2,2,4,4,2,6,1.0,2,3,['경기도+과천시']
a_a014858,4,남,20,1,5,1,1,4,4,4,2,7,3.0,1,1,['서울특별시+중구']
a_a002414,8,남,30,6,2,3,4,4,5,5,3,4,2.0,1,1,['경기도+양평군']
a_a000744,8,여,20,4,2,1,4,5,3,2,2,6,9.0,2,1,['경기도+가평군']
a_a002908,3,여,30,4,4,1,4,1,4,6,3,6,2.0,1,0,['경기도+수원시']
a_a002526,2,남,30,7,2,2,5,2,2,6,3,3,3.0,2,3,['경기도+용인시']
a_a002153,11,여,30,4,2,6,4,4,4,4,2,2,2.0,2,0,['경기도+양주시']
a_a010570,2,여,40,7,2,2,3,2,3,3,2,2,3.0,2,5,"['경기도+수원시', '경기도+과천시']"
a_a005795,2,남,20,4,7,6,6,3,2,5,7,2,4.0,2,0,['경기도+용인시']
a_a009690,1,남,30,4,4,2,1,5,5,1,1,1,4.0,6,1,['서울특별시+종로구']
a_a000207,1,남,50,2,4,4,5,2,2,3,2,6,1.0,1,2,['경기도+여주시']
a_a000670,6,남,20,5,5,6,6,4,5,5,5,5,7.0,1,3,"['경기도+가평군', '강원도+춘천시']"
a_a011737,22,여,50,3,4,4,3,4,4,4,5,3,1.0,1,4,['경기도+파주시']
a_a002638,9,여,30,4,2,2,2,2,2,2,2,6,1.0,4,1,['경기도+수원시']
a_a000796,6,여,20,2,3,2,5,2,3,2,6,3,1.0,1,1,"['서울특별시+서초구', '서울특별시+종로구']"
a_a002398,5,여,20,4,2,1,1,6,7,2,2,6,1.0,4,1,['인천광역시+중구']
a_a004301,3,남,30,4,6,2,1,4,2,3,3,3,7.0,1,1,['서울특별시+종로구']
a_a002400,22,여,30,3,5,4,4,3,2,5,3,4,1.0,2,1,['경기도+수원시']
a_a007337,6,여,20,3,1,1,1,1,7,6,7,6,3.0,4,1,['서울특별시+용산구']
a_a003490,27,여,30,5,3,1,1,4,1,2,6,7,7.0,1,1,['경기도+광주시']
a_a014096,3,여,30,4,4,6,2,2,6,1,7,6,7.0,2,0,['서울특별시+용산구']
a_a008715,9,남,20,4,6,1,3,5,1,4,1,6,3.0,2,1,['서울특별시+영등포구']
a_a008048,6,여,40,10,4,5,2,3,7,2,2,4,8.0,6,0,"['경기도+안양시', '경기도+과천시']"
a_a006798,4,남,20,4,2,2,2,6,4,6,6,6,3.0,1,4,['서울특별시+용산구']
a_a006351,2,남,20,4,1,7,1,4,1,1,7,1,1.0,1,0,['경기도+양주시']
a_a002367,1,여,30,3,4,3,5,3,2,4,5,3,10.0,1,3,"['경기도+수원시', '서울특별시+서초구']"
a_a001281,23,여,30,7,5,1,2,2,2,3,6,6,1.0,1,3,['경기도+광주시']
a_a000130,24,남,50,9,3,6,3,3,3,5,3,6,3.0,1,1,['경기도+파주시']
a_a002260,6,여,30,4,2,3,3,2,4,3,3,6,1.0,5,1,"['서울특별시+송파구', '서울특별시+중구', '서울특별시+종로구']"
a_a001729,3,남,20,3,3,3,4,3,4,5,5,5,3.0,1,1,['경기도+시흥시']
a_a004296,6,남,50,7,1,3,2,3,2,3,1,4,2.0,4,1,['경기도+시흥시']
a_a007185,22,여,20,4,2,1,4,3,5,7,2,7,5.0,3,0,['경기도+남양주시']
a_a004335,3,남,40,6,4,1,1,1,1,4,1,4,3.0,4,3,['서울특별시+종로구']
a_a017657,21,남,30,5,1,4,3,3,3,3,6,6,4.0,2,0,['경기도+양평군']
a_a000134,1,남,30,3,5,2,2,5,6,4,6,3,1.0,2,1,"['서울특별시+중구', '서울특별시+종로구']"
a_a006814,22,여,30,4,5,3,2,3,6,6,1,7,3.0,4,1,['경기도+하남시']
a_a011575,22,남,30,4,3,5,1,6,2,2,6,7,4.0,1,0,['서울특별시+종로구']
a_a008121,2,여,50,6,2,2,1,2,3,1,2,7,3.0,2,1,"['서울특별시+송파구', '서울특별시+종로구']"
a_a002558,3,여,40,4,1,2,6,6,6,2,2,6,1.0,6,2,"['서울특별시+종로구', '서울특별시+서대문구']"
a_a002699,8,여,20,4,1,2,1,4,4,1,1,4,2.0,1,1,['강원도+춘천시']
a_a002324,22,여,20,2,2,5,1,2,4,5,3,5,1.0,1,1,['경기도+연천군']
a_a007559,2,남,20,3,2,3,1,6,4,2,1,6,7.0,6,1,['경기도+광주시']
a_a001057,5,남,30,5,2,3,2,2,6,6,1,7,3.0,4,2,['경기도+가평군']
a_a011577,1,남,30,5,6,6,6,2,4,4,4,6,1.0,4,1,['경기도+고양시']
